claim_id,claim_text,evidence_kind,dataset_id,run_id,result_id,figure_id,source_reference,scope,limitations,validation_status,manuscript_location
m1-early-a-multi,A gas multi-channel gives 57/60 detections within 60 seconds after experiment release start,measured laboratory pilot,UCI309,m1-uci309-20260924-v2,m1-A-gas-multi-detected_within_60_s,m1-uci309-test-comparison,https://archive.ics.uci.edu/dataset/309/gas+sensor+array+exposed+to+turbulent+gas+mixtures.,wind-tunnel clean-start experiments,fixed 60s release; repeated scoring; no field prediction,exploratory_pilot_repeated_holdout_after_scoring_fix,docs/stage5-m1-pilot-results.md main table
m1-false-a-multi,A gas multi-channel has 1/60 pre-release triggered files over 35 minutes aggregate background,measured laboratory pilot,UCI309,m1-uci309-20260924-v2,m1-A-gas-multi-false_files,m1-uci309-test-comparison,https://archive.ics.uci.edu/dataset/309/gas+sensor+array+exposed+to+turbulent+gas+mixtures.,60 independent short pre-release segments,does not estimate full-day site false-alarm rate,exploratory_pilot_repeated_holdout_after_scoring_fix,docs/stage5-m1-pilot-results.md main table
uci487-repeated-program,All 13 days have identical CO reference at all 100 corresponding settled segments,original UCI487 laboratory data read-only diagnostic,UCI487,uci487-protocol-diagnostic-20260924-01,uci487-diagnostic-same_co_positions_min;uci487-diagnostic-co_schedule_max_difference,,https://archive.ics.uci.edu/dataset/487/gas+sensor+array+temperature+modulation,13 measurement days x 100 repeated experimental segments,The time-only lookup is invalid as a gas estimator; no physical site data,diagnostic_only_no_model,docs/stage5-uci487-data-and-validation-plan.md
487-v3-phase-vs-blind,Heater-separated 14-sensor ridge gave 0.463 ppm MAE vs 0.775 ppm heater-blind on blocked V3 test,measured laboratory completed-segment regression,UCI487,uci487-v3-20260925-01,487-v3-phase14-mae_ppm;487-v3-blind14-mae_ppm,487-v3-test-day-mae,https://archive.ics.uci.edu/dataset/487/gas+sensor+array+temperature+modulation,same chamber and repeated 0-20ppm schedule; three days and 20 unseen positions,phase model lower test than validation-chosen phase+ambient; cannot post-select primary model by test,completed_lab_calibration_v3_holdout_once,docs/stage5-uci487-v3-results.md V3
487-v3-validation-chosen,Validation-chosen heater-separated 14-sensor plus ambient ridge scored 0.530 ppm test MAE,measured laboratory completed-segment regression,UCI487,uci487-v3-20260925-01,487-v3-phase14-ambient-mae_ppm,487-v3-test-day-mae,https://archive.ics.uci.edu/dataset/487/gas+sensor+array+temperature+modulation,"same chamber, fixed schedule, known levels, last 300s of 15-minute segments",Not prospective accident alert; 60 observations comprise three dates and 20 program positions,completed_lab_calibration_v3_holdout_once,docs/stage5-uci487-v3-results.md V3
487-v1-zero-r1,Daily zero-CO R1 low-heater medians range approximately 2.74-8.45 MOhm across 13 lab days,measured laboratory descriptive,UCI487,uci487-v3-20260925-01,487-v1-zero-r1-min;487-v1-zero-r1-max,487-v1-r1-zero-daily,https://archive.ics.uci.edu/dataset/487/gas+sensor+array+temperature+modulation,same gas chamber and repeated stimulus program,Humidity and previous exposure may contribute; no causal attribution to aging,descriptive_lab_diagnostic,docs/stage5-uci487-v3-results.md V1
stage6-s2-conditional-joint,With one fixed synthetic overlap path 58/60 prior laboratory gas test files yield at least one simulated L3 interval,UCI309 measured laboratory gas + fixed simulated personnel,UCI309+SIM_PERSON,stage6-s1-a-20260925-01,stage6-s2-joint-files;stage6-s2-joint-seconds;stage6-s3-joint-files,stage6-s2-trace,https://archive.ics.uci.edu/dataset/309/gas+sensor+array+exposed+to+turbulent+gas+mixtures.,60 already viewed fixed-onset wind tunnel trials with one reused artificial corridor trajectory,"Counts are scenario coverage and timing, not accident prediction performance",exploratory_lab_gas_plus_simulated_person_replay,docs/stage6-s1-fixed-replay-results.md scenario table
stage6-s2-parameter-sensitivity,At fixed 1m buffer and 3s gas evidence adding 0.5m simulated position error bound changes L3 simulated seconds from 2664 to 842 and flags 2460 of 12900 replayed seconds unknown,UCI309 measured laboratory gas + simulated spatial perturbation,UCI309+SIM_PERSON,stage6-s1-a-20260925-01,stage6-s2-joint-seconds;stage6-sens-b1-error05-l3;stage6-sens-b1-error05-unknown,stage6-s2-parameter,https://archive.ics.uci.edu/dataset/309/gas+sensor+array+exposed+to+turbulent+gas+mixtures.,same 60 prior gas trials and one synthetic path / single seeded noise draw,0.5m is not D435 measured error; 2460 time points are 41 synthetic positions replicated 60 times,exploratory_lab_gas_plus_simulated_person_replay,docs/stage6-s1-fixed-replay-results.md sensitivity
stage6-s4-unknown-zone,Wrong-zone simulated pairing yields unknown joint output for all 10 injected seconds in each of 60 gas replays,software policy property under synthetic fault injection,UCI309+SIM_PERSON,stage6-s1-a-20260925-01,stage6-s4-wrong-zone-unknown,,https://archive.ics.uci.edu/dataset/309/gas+sensor+array+exposed+to+turbulent+gas+mixtures.,deterministic zone mismatch with independent gas and person events retained,"Implementation property by construction, not empirical safety performance",exploratory_lab_gas_plus_simulated_person_replay,docs/stage6-s1-fixed-replay-results.md scenario table
stage7-a-uci322-conditional-lab-detection,Within the held-out later time blocks the frozen multi-channel score alarms within 60 s after 14/14 CO and 13/13 methane gas-delivery setpoint onsets; single-channel CO misses 14/14,laboratory gas-chamber sensor measurements and controlled source setpoint schedule,UCI322,stage7-a-20260925-01,stage7-co-b1-test-detected;stage7-methane-b1-test-detected;stage7-co-b0-test-detected,,https://archive.ics.uci.edu/dataset/322/gas+sensor+array+under+dynamic+gas+mixtures,two separate continuous chamber runs; chronological time holdouts,Correlated repeated setpoints; only 0.246/0.461 h conservative zeros; no coke-plant accident or actual concentration trace,controlled_lab_time_holdout_once,docs/stage7-a-separate-validation-results.md section 2
stage7-a-sb112-smoke-background,One SB112 smoke sensor has 6 alarm episodes within 23.978 covered hours on a day without manual triggering; other three sensor channels have zero episodes under their own thresholds,smart-building sensor logged values with author-described no-manual-trigger days,SB112,stage7-a-20260925-01,stage7-sb112-smoke-test-background-events;stage7-sb112-co-test-background-events;stage7-sb112-cng-test-background-events;stage7-sb112-lpg-test-background-events,,https://zenodo.org/records/6616632,2022-03-10 device-local background day,No independently annotated ambient hazard truth or exact stimulus onset; not a coke-plant false-alarm estimate,separate_device_background_day_only,docs/stage7-a-separate-validation-results.md section 3
stage7b-co-b0-low-score-exploratory,CO B0 frozen sensor-channel scores during 14 original test setpoint onsets never reach its 32.408 threshold (max 0.8785),laboratory posthoc diagnosis,UCI322,stage7-b-20260925-posthoc-01,stage7b-co-b0-peak-max-posthoc,,https://archive.ics.uci.edu/dataset/322/gas+sensor+array+under+dynamic+gas+mixtures,same Stage7A laboratory held-out time block,After seeing 7A results; physical failure cause not established; not a new blind test,posthoc_exploratory_not_new_blind_test,docs/stage7-b-posthoc-diagnostic-results.md
stage8-a2-indoor-2d,Preselected SSDLite matched 62 of 66 human person boxes in 115 sampled frames of two similar Bonn indoor videos at IoU 0.5,public indoor RGB with assembled independently reviewed 2D boxes,Bonn_RGBD_tracking_two_sequences,stage8-bonn-2d-20260925-01,stage8-a2-two-sequence-tp,,https://www.ipb.uni-bonn.de/data/rgbd-dynamic-dataset/,two similar indoor sequences; second visible during annotation QC,Does not validate D435 or coke-plant personnel detection,indoor_2d_similar_room_reviewed,docs/stage8-v1a-a2-2d-detector-results.md
stage8-a1-repeat-depth-availability,After A1 and G1 freeze 32 of 34 human-person frames in the second indoor sequence yielded a detector-box depth; two were 2D misses,public indoor RGB-D depth availability; internal quality gate,Bonn_RGBD_tracking2_similar_room,stage8-bonn-repeat-20260925-01,stage8-repeat-depth-valid;stage8-repeat-depth-unknown,,https://www.ipb.uni-bonn.de/data/rgbd-dynamic-dataset/,57 sampled frames in similar indoor room; 34 human-labeled person frames,Passing gate is not human depth truth; video seen in label QC; no hazard-zone truth,similar_room_repeat_seen_during_QC,docs/stage8-v1a-a2-repeat-depth-results.md
stage8-g1-virtual-only,Frozen G1 yields 2 inside 1 near 29 outside and 2 unknown across 34 human-person frames in a similar indoor sequence,derived virtual camera-relative zone proxy,Bonn_RGBD_tracking2_similar_room,stage8-bonn-repeat-20260925-01,stage8-repeat-g1-inside;stage8-repeat-depth-unknown;stage8-repeat-g1-pair-agree,,https://www.ipb.uni-bonn.de/data/rgbd-dynamic-dataset/,self-defined X=0.15 and 0.35 m imaginary boundaries for torso point,No real restriction zone or person location truth; 30/30 agreement is only between two box definitions,internal_virtual_region_demo_not_intrusion_accuracy,docs/stage8-v1a-a2-repeat-depth-results.md
